name,new_price,old_price,discount,status,photo_link,link,positive_feedback
Ноутбук HP Elitebook 8470p-Intel Core-i5-3210M-2.5 GHz-4Gb-DDR3-320Gb-HHD-DVD-RW-W14-HD-Web-AMD Radeon HD 7570M(1Gb)-(B)-Б/В,6498.0,6840.0,5.0,Закінчується,https://images.prom.ua/3749454696_w200_h200_noutbuk-hp-elitebook.jpg,https://prom.ua/p1607253525-noutbuk-elitebook-8470p.html,88
Ноутбук HP Elitebook 8470p-Intel Core-i5-3360M-2.8 GHz-4Gb-DDR3-500Gb-HHD-DVD-RW-HD+-W14-Web-AMD Radeon HD 7570M(1Gb)-(B)-Б/В,6821.0,7180.0,5.0,Закінчується,https://images.prom.ua/3749454698_w200_h200_noutbuk-hp-elitebook.jpg,https://prom.ua/p1607253526-noutbuk-elitebook-8470p.html,88
Ноутбук HP ProBook 6560b-Intel Core i5-2410M-2.3GHz-4Gb-DDR3-500Gb-HDD-Web-W15.6-HD+-AMD Radeon HD 6470M-(B-)-Б/В,6232.0,6560.0,5.0,Закінчується,https://images.prom.ua/3749588117_w200_h200_noutbuk-hp-probook.jpg,https://prom.ua/p1607278495-noutbuk-probook-6560b.html,88
Ноутбук Toshiba Satellite C870-10L-Intel Pentium B960-2.2GHz-4Gb-DDR3-320Gb-HDD-W17.3-Web-AMD Radeon HD 7610M(1Gb)- Б/В,5577.0,5870.0,5.0,Закінчується,https://images.prom.ua/3762190879_w200_h200_noutbuk-toshiba-satellite.jpg,https://prom.ua/p1610927586-noutbuk-toshiba-satellite.html,88
Ноутбук Acer TravelMate P278-MG- i7-6500U-8Gb-DDR4-256ssd+1Tb-W17.3- FHD/nVidia 940M-Web-(A)-Б/В,20767.0,21860.0,5.0,Закінчується,https://images.prom.ua/3771671927_w200_h200_noutbuk-acer-travelmate.jpg,https://prom.ua/p1613699639-noutbuk-acer-travelmate.html,88
"Ноутбук Dell Latitude E5580-Intel Core-i7-7820HQ-2,90GHz-16Gb-DDR4-512Gb-SSD-W15.6-FHD IPS-Web-nVidia 940MX-(A)-Б/В",21765.0,22910.0,5.0,Закінчується,https://images.prom.ua/3771676199_w200_h200_noutbuk-dell-latitude.jpg,https://prom.ua/p1613699640-noutbuk-dell-latitude.html,88
"Ноутбук Fujitsu Celsius H760-Intel-Core i7-7820HQ-2,7GHz-8Gb-DDR4-256Gb-SSD-DVD-R-W15.6-FHD-Web-(B)-NVIDIA Quadro M1000M-(2Gb)-Б/В",19665.0,20700.0,5.0,Закінчується,https://images.prom.ua/3790532769_w200_h200_noutbuk-fujitsu-celsius.jpg,https://prom.ua/p1619658248-noutbuk-fujitsu-celsius.html,88
"Ноутбук HP ZBook 15 G2-Intel-Core-i7-4610M-3,0GHz-8Gb-DDR3-120Gb-SSD-W15.6-IPS-FHD-NVIDIA Quadro K1100M-(2Gb)-(B)- Б/В",13709.0,14430.0,5.0,Закінчується,https://images.prom.ua/3790548755_w200_h200_noutbuk-hp-zbook.jpg,https://prom.ua/p1619658260-noutbuk-zbook-intel.html,88
Ноутбук HP Pavilion 15-p260no-AMD-A6-6310-1.8GHz-12Gb-DDR3-320Gb-HDD-W15.6-Web-AMD Radeon R7-(B)- Б/В,10441.0,10962.0,4.8,Закінчується,https://images.prom.ua/2811717216_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1320013491-noutbuk-pavilion-p260no.html,78
Ноутбук HP Pavilion dv6-6143eo-AMD A6-3410MX-1.6GHz-4Gb-DDR3-500Gb-HDD-W15.6-Web-DVD-R-AMD Radeon HD 6750M-(B-)- Б/В,6185.0,6490.0,4.7,Закінчується,https://images.prom.ua/2784882540_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1311682695-noutbuk-pavilion-dv6.html,78
Ноутбук HP Pavilion dv6-6102eo-AMD A6-3410MX-1.6GHz-4Gb-DDR3-500Gb-HDD-W15.6-Web-DVD-R-AMD Radeon HD 6750M-(B-)- Б/В,6185.0,6490.0,4.7,Закінчується,https://images.prom.ua/2784875168_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1311682725-noutbuk-pavilion-dv6.html,78
Ноутбук Acer ASPIRE 3820-Intel Core-I5-450M-2.40GHz-4Gb-DDR3-320Gb-HDD-W13.3-Web-AMD Radeon HD 5650M-(B-)- Б/В,6289.0,6602.0,4.7,Закінчується,https://images.prom.ua/2787219554_w200_h200_noutbuk-acer-aspire.jpg,https://prom.ua/p1312432312-noutbuk-acer-aspire.html,78
